Date	CBRT Hawkish-Dovish
2017-01-01	0.00274061059302
2017-01-02	0.00226757369615
2017-01-03	0.00285185648902
2017-01-04	0.00314640729903
2017-01-05	0.00314640729903
2017-01-06	0.00204961541529
2017-01-07	0.00204961541529
2017-01-08	-0.000217958280854
2017-01-09	-0.000528517287065
2017-01-10	-0.000238164511423
2017-01-11	0.00185819920337
2017-01-12	0.00271363119652
2017-01-13	0.00688924081425
2017-01-14	0.00688924081425
2017-01-15	0.00688924081425
2017-01-16	0.00855069478838
2017-01-17	0.00737844017225
2017-01-18	0.00528764569546
2017-01-19	0.00443221370231
2017-01-20	0.00166805927857
2017-01-21	0.00166805927857
2017-01-22	0.00296676057728
2017-01-23	0.00261023087287
2017-01-24	0.00436855690266
2017-01-25	0.00467763575809
2017-01-26	0.00406451497329
2017-01-27	0.00374985166303
2017-01-28	0.00448245239564
2017-01-29	0.00318375109693
2017-01-30	0.00253697012262
2017-01-31	0.00107626314044
2017-02-01	0.000784524554457
2017-02-02	0.00139764533925
2017-02-03	0.00171510565671
2017-02-04	0.000982504924111
2017-02-05	0.000353178303595
2017-02-06	5.59401440459e-06
2017-02-07	0.000594695634434
2017-02-08	0.000277235316974
2017-02-09	0.000277235316974
2017-02-10	-4.02250004866e-05
2017-02-11	-4.02250004866e-05
2017-02-12	0.000589101620029
2017-02-13	0.000589101620029
2017-02-14	-0.001998001998
2017-02-15	-0.000650293103123
2017-02-16	-0.000650293103123
2017-02-17	-0.000650293103123
2017-02-18	-0.000650293103123
2017-02-19	-0.000650293103123
2017-02-20	-0.000650293103123
2017-02-21	0.00134770889488
2017-02-22	0.000604047115675
2017-02-23	0.00145438725173
2017-02-24	0.00145438725173
2017-02-25	0.00145438725173
2017-02-26	0.00145438725173
2017-02-27	0.00145438725173
2017-02-28	0.00145438725173
2017-03-01	0.00118411850722
2017-03-02	0.000743111158718
2017-03-03	0.000743111158718
2017-03-04	0.000743111158718
2017-03-05	0.00143659243472
2017-03-06	0.00143659243472
2017-03-07	0.00205103175884
2017-03-08	0.00294086917232
2017-03-09	0.00253153638477
2017-03-10	0.00253153638477
2017-03-11	0.00253153638477
2017-03-12	0.00183805510876
2017-03-13	0.00385486183145
2017-03-14	0.00324042250733
2017-03-15	0.00201680672269
2017-03-16	0.00261204481793
2017-03-17	0.00229245389431
2017-03-18	0.00308610468796
2017-03-19	0.00308610468796
2017-03-20	0.00143466150199
2017-03-21	0.00143466150199
2017-03-22	0.00143466150199
2017-03-23	0.000839423406752
2017-03-24	0.00115901433037
2017-03-25	0.000365363536719
2017-03-26	0.000365363536719
2017-03-27	0.000327653997379
2017-03-28	0.000327653997379
2017-03-29	0.000327653997379
2017-03-30	0.000327653997379
2017-03-31	0.000648681284698
2017-04-01	0.000648681284698
2017-04-02	0.000648681284698
2017-04-03	0.000321027287319
2017-04-04	0.000321027287319
2017-04-05	-7.230344309e-07
2017-04-06	-7.230344309e-07
2017-04-07	-0.00032175032175
2017-04-08	-0.00136450318932
2017-04-09	-0.00136450318932
2017-04-10	-0.00136450318932
2017-04-11	-0.00136450318932
2017-04-12	-0.00104275286757
2017-04-13	-0.00104275286757
2017-04-14	-0.00104275286757
2017-04-15	-4.95635278851e-19
2017-04-16	-4.95635278851e-19
2017-04-17	-4.95635278851e-19
2017-04-18	-4.95635278851e-19
2017-04-19	-4.95635278851e-19
2017-04-20	-1.08420217249e-18
2017-04-21	-1.08420217249e-18
2017-04-22	-1.08420217249e-18
2017-04-23	-1.08420217249e-18
2017-04-24	-1.08420217249e-18
2017-04-25	-1.08420217249e-18
2017-04-26	0.000840336134454
2017-04-27	0.00111559074497
2017-04-28	0.00111559074497
2017-04-29	0.00111559074497
2017-04-30	0.00111559074497
2017-05-01	0.000708590337968
2017-05-02	0.00163423057246
2017-05-03	0.00079389443801
2017-05-04	0.000518639827495
2017-05-05	0.000518639827495
2017-05-06	0.000518639827495
