Date	ExcessSentiment
2017-01-01	-0.026976404873
2017-01-02	-0.0308979216779
2017-01-03	-0.0496598361948
2017-01-04	-0.0577945326561
2017-01-05	-0.0617301415935
2017-01-06	-0.0668841520236
2017-01-07	-0.0800797695525
2017-01-08	-0.0983111067638
2017-01-09	-0.0987362275933
2017-01-10	-0.0829691807549
2017-01-11	-0.037830921774
2017-01-12	-0.0255032648571
2017-01-13	0.00380258797354
2017-01-14	0.0424614307378
2017-01-15	0.0723553856637
2017-01-16	0.0989228450802
2017-01-17	0.10839158774
2017-01-18	0.0748270146625
2017-01-19	0.0617414224838
2017-01-20	0.0334043461837
2017-01-21	0.0179673462949
2017-01-22	0.00825544218472
2017-01-23	-0.0014451850481
2017-01-24	-0.00764146805086
2017-01-25	0.00177063338832
2017-01-26	0.0562115843979
2017-01-27	0.101093553177
2017-01-28	0.157991874023
2017-01-29	0.215350425694
2017-01-30	0.25957064803
2017-01-31	0.322319776773
2017-02-01	0.324521973728
2017-02-02	0.303779387638
2017-02-03	0.264390383334
2017-02-04	0.200065586142
2017-02-05	0.133767343905
2017-02-06	0.0973932068354
2017-02-07	0.0163556491189
2017-02-08	0.0202396504738
2017-02-09	-0.0298200721449
2017-02-10	-0.0434523912381
2017-02-11	-0.0384006097899
2017-02-12	-0.0346186933707
2017-02-13	-0.0470712074753
2017-02-14	-0.0408649486636
2017-02-15	-0.0700831819789
2017-02-16	-0.0235850821848
2017-02-17	0.00885031831478
2017-02-18	0.0113052597034
2017-02-19	0.0408515246262
2017-02-20	0.0672221240141
2017-02-21	0.121177091319
2017-02-22	0.150476512748
2017-02-23	0.116884681568
2017-02-24	0.124289544754
2017-02-25	0.126148702351
2017-02-26	0.0944710765239
2017-02-27	0.0619818444655
2017-02-28	0.012517226562
2017-03-01	-0.000427125339221
2017-03-02	0.00395528610917
2017-03-03	-0.0118725289815
2017-03-04	-0.0527717064598
2017-03-05	-0.0829344359772
2017-03-06	-0.0914698421583
2017-03-07	-0.0997979992546
2017-03-08	-0.118345797612
2017-03-09	-0.103727297293
2017-03-10	-0.0995619153576
2017-03-11	-0.0496267655524
2017-03-12	0.0030294309483
2017-03-13	0.0184544676986
2017-03-14	0.0238608733706
2017-03-15	0.0583819995787
2017-03-16	0.0439906384771
2017-03-17	0.0416952335281
2017-03-18	0.0144982214524
2017-03-19	-0.0214941490977
2017-03-20	-0.0254926858953
2017-03-21	-0.0497606954011
2017-03-22	-0.0758604155173
2017-03-23	-0.061966063611
2017-03-24	-0.0760375398183
2017-03-25	-0.082750410875
2017-03-26	-0.0789567346355
2017-03-27	-0.0809968086663
2017-03-28	-0.076295877368
2017-03-29	-0.0334287317754
2017-03-30	-0.0651903135719
2017-03-31	-0.0686914961532
2017-04-01	-0.0322679113381
2017-04-02	-0.00780490425361
2017-04-03	0.00790548971338
2017-04-04	0.0511468060028
2017-04-05	-0.0029633682975
2017-04-06	0.0165238985102
2017-04-07	-0.000215049802396
2017-04-08	0.0470379991177
2017-04-09	0.079328502872
2017-04-10	0.0553682478778
2017-04-11	0.0482749003767
2017-04-12	0.0358136369648
2017-04-13	0.0371254869491
2017-04-14	0.0379265745906
2017-04-15	-0.0104227210893
2017-04-16	-0.0679398796407
2017-04-17	-0.0442564487168
2017-04-18	-0.0816162035602
2017-04-19	-0.0584885432872
2017-04-20	-0.0759795518609
2017-04-21	-0.0776823969447
2017-04-22	-0.11481288794
2017-04-23	-0.134680150633
2017-04-24	-0.162979988997
2017-04-25	-0.138909764073
2017-04-26	-0.137795099086
2017-04-27	-0.128868461874
2017-04-28	-0.135872925083
2017-04-29	-0.137513531384
2017-04-30	-0.129600295933
2017-05-01	-0.112265298184
2017-05-02	-0.112778486207
2017-05-03	-0.116837535885
2017-05-04	-0.114838640128
2017-05-05	-0.0932177353752
